Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2015,Alexandria,Coach Charter Tourism,> 10,No,20,,10,Zero tourism from overseas,Significantly decreased (more than 50% decline),Increase > 50%,,Yes,,,,Yes,,Business premises,,No change,No change,No change,Improved/expanded,,Yes,,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,Yes,,,Yes,Yes,,,Yes,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,5010,Scenic and Sightseeing Transport,Transport and Logistics,Road Transport,160
2000,Sydney,Coaching,1 to 5,No,1,,,Working more remotely,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,Yes,Yes,,Yes,,,,Yes,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,,Yes,Yes,,,,,,,Yes,,,Don't know,8101D,Other Training N.E.C.,Higher Education and Research,HEandR - Education,161
2010,Surry Hills,Coffee Bar,6 to 10,No,,,8,No notable impact,Increased,Remain the same,Yes,,,,,Yes,,Business premises,,New,New,No change,No change,,,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,,,,Yes,,,,Yes,,Yes,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,,,,,,No,,No,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,162
2060,,Commercial Consulting,> 10,No,,,10,Negligible,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Bank Account,In-person events,,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,163
2010,Surry Hills,Commercial Property Leasing,> 10,No,2,,1,Dramatic.,Decreased,Remain the same,Yes,,,,,,,Business premises,,New,No change,No change,New,,,,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,Yes,,,Yes,,,,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,6712,Non-Residential Property Operators,Property Development and Operation,Property Services,164
2000,Sydney,Computer Store,> 10,No,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4222,Computer and Computer Peripheral Retailing,Retail and Personal Services,Entertainment and Media,165
2000,Sydney,Conference and Event Management,> 10,No,40,,,"Significant. Our business relies on personal interaction, discussion and debate.",Decreased,Increase,,,,,,Yes,Ed,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,,,,Yes,,,,,,,Yes,,Yes,,,,,,,,,,Yes,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,Yes,,,,,,,Yes,,,,,,,,No,,Yes,7299C,Event Management,Professional and Business Services,PBS - Business Services,166
2170,,Construction,> 10,No,45,1,1,Reduced profitability,Decreased,Remain the same,,Yes,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,Non-Residential Building Construction,Property Development and Operation,General Construction,167
2000,Sydney,Legal Services,6 to 10,No,4,0,0,It is obvious that business has been affected. A number of retail stores around our office have closed.,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,Yes,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,168
2008,Darlington,Construction,> 10,No,15,1,2,Significant up front hardware costs but a good investment regardless,Significantly increased (more than 50% increase),Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,New,No change,,,,,,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,,,,,No,,No,3020,Non-Residential Building Construction,Property Development and Operation,General Construction,169
2015,Alexandria,Construction,> 10,No,7,,,Not applicable,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,Yes,,,,,Yes,,Yes,,,Yes,,,,Yes,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,,Yes,,,,Yes,Yes,,,,,,,,No,,Yes,3020,Non-Residential Building Construction,Property Development and Operation,General Construction,170
2000,Sydney,Consultancy,> 10,No,4,1,1,"Working from home causes a great many disruptions, delays and wasted time. It's brought innovations to our working, but it undeniably is less productive that the pre-2020 way of working. We abandoned WFH as soon as was possible.",Decreased,Remain the same,,,,,Yes,,,Business premises,,No change,No change,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,171
2010,Darlinghurst,Consultant,6 to 10,No,,4,,Minimal,Decreased,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,Yes,,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,172
2000,Sydney,Consultant,> 10,No,,1,4,"Frustration, lack of collaboration",Decreased,Increase,,,,,Yes,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,Yes,,,,,,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,1:1 mentoring,,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,173
2000,Barangaroo,Consultant Architects,> 10,No,14,,,Working from home has resulted in lower productivity,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,Yes,,,,Yes,,,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,Yes,,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,174
2010,Darlinghurst,Consulting,6 to 10,No,2,,,No impacts.  We operate across the country and frequently work from different locations.,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,,,Transition/exit strategy,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,Yes,Yes,,,As a micro business we have chosen to rent serviced office space with a provider that provides these practices in place.,,,,,,,Yes,"As a micro business with 2 partners and no other employees, these strategies do not apply.",,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,175
2000,Sydney,Consulting,> 10,No,3,,,no change,Remained the same,Remain the same,,,,,Yes,,,Fully remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,176
2009,Pyrmont,Consulting,> 10,No,12,10,,"COVID, transport, parking.",Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,No change,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,,,,,,,Yes,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,Yes,,,,Yes,Yes,Yes,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,177
2000,Sydney,Consulting,> 10,No,,2,,away from people is depressing,Significantly decreased (more than 50% decline),Remain the same,,,,,,Yes,,Fully remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,178
2000,Sydney,Consulting,> 10,No,500,,,Inability to collaborate with work colleagues. Inability to meet key stakeholders to drive outcomes.,Decreased,Remain the same,,,,,,,Full capacity with staff alternating between office and home,Split between locations (hybrid),,New,New,New,Improved/expanded,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,,Yes,,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,179
2126,,Consulting,6 to 10,No,,1,,Positive,Remained the same,Remain the same,,,,,Yes,,,Fully remote,,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,180
2010,Surry Hills,Consulting,6 to 10,No,18,4,1,Harder to do engagement - one of the services in our product suite.,Significantly increased (more than 50% increase),Increase,,,,,,Yes,,Split between locations (hybrid),,No change,,New,No change,,,,,,,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,181
2000,Sydney,Consulting,> 10,No,,,1,none,Remained the same,Remain the same,Yes,,,,,,,Business premises,,No change,No change,Temporary,No change,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,182
2038,Annandale,Consulting,1 to 5,No,0,1,0,More time at home,Remained the same,Don't know,,,,,Yes,,,Fully remote,,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,183
2010,Darlinghurst,Consulting,> 10,No,2,,,Boredom,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,New,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase Cashflow and profit,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,Yes,,,,,,,,No,,Yes,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,184
2000,Sydney,Consulting,> 10,No,15,10,5,We have seen an increase in opportunity as businesses decide what to do with their property portfolio,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,Improved/expanded,,,,,,,,,,,,,Yes,,Yes,Initiatives to bring people back into the city/revitalise the CBD,Yes,Yes,,,,,,,,,,,,,,,1:1 mentoring,,Better off,Better off,Better off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,185
2000,Sydney,Consulting,1 to 5,No,1,,,"It is not affected my business directly however it is affected the business of those that I consult to, ot has decreased their revenue.",Remained the same,Increase,Yes,,,,,,,Split between locations (hybrid),,New,New,New,New,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,,Yes,Yes,,,,Yes,,Yes,,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,186
2011,Woolloomooloo,Consulting,1 to 5,No,0,0,3,They are lazy. Useless,Remained the same,Remain the same,,,,,,,Normal,Fully remote,,Improved/expanded,No change,No change,Improved/expanded,,,,,,,,,,,,,,,,Not sure,,,,,,,Yes,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,Don't know,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,187
2037,Glebe,Consulting Management Change,> 10,No,1,,,All client work had to be done remotely until May 2022. We lost a major contract as a result of fractured communication. Principal of business struggled financially & with mental health. We learned to be highly innovative and more effective with Zoom and MSTeams. The business revenue dropped significantly.,Remained the same,Remain the same,Yes,,,,,,Principal has taken employment position for four days per week,Split between locations (hybrid),,,,Improved/expanded,Improved/expanded,,,,,,,,,,,,,,,,Return to employment rather than sole trader/self employed,,,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,,Yes,,,"We no longer have a printer and don't operate with paper very often. We are flexible with tablets, laptops, phones and a greater variety of apps and other new technology to support how we work.",,,,,,,Yes,,,No,,Don't know,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,188
2000,Sydney,Consulting Marketing Advertising,> 10,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7299B,Marketing,Professional and Business Services,PBS - Business Services,189
2010,Surry Hills,Consulting Services,1 to 5,No,20,3,1,"We adjusted quickly to a digital first culture and were able to support people to work from home. We invested internal resources on health and wellbeing support to staff such as vouchers for food, time off and resilience training.",Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,Yes,Yes,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,Yes,Yes,Yes,,,,,,Yes,,we have established an internal working group to develop our Reconciliation Action Plan,Don't know,6999,"Other Professional, Scientific and Technical Services n.e.c.",Professional and Business Services,PBS - Business Services,190
2000,Sydney,Accounting,> 10,Prefer not to say,8,,,"Minimal on our business directly, but a number of clients have definitely encountered downturns in revenue and increased costs.",Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,No change,No change,Improved/expanded,No change,,,,,Yes,,,,,,,,Yes,,Yes,,,,Yes,,,,,,Yes,,,,,,,,In-person events,,Better off,Worse off,Worse off,,,,,,Yes,,,,Yes,,,,,"by and large all of this nonsense is unnecessary, a diverse workforce will emerge naturally.",,No,,No,6932,Accounting Services,Finance and Financial Services,Financial Services,191
2015,Alexandria,Contemporary Visual Artist Education,1 to 5,Prefer not to say,0,0,0,Severe downturn.,Significantly decreased (more than 50% decline),Don't know,Yes,,,,,,,Other (please describe),I have had to be the sole employee,No change,Improved/expanded,Improved/expanded,Temporary,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,,Equity to all,,No,,Yes,9002,"Creative Artists, Musicians, Writers and Performers",Creative Industries,Creative Culture,192
2011,Potts Point,Restaurant,> 10,No,8,4,6,"Less revenue, inconsistency for correct staffing levels ,",Decreased,Don't know,,Yes,,,,,,Business premises,,Improved/expanded,New,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Staff! We need to get able to keep the existing qualified staff that are foreign workers. There are no new coming in and the existing qualified staff need help staying on with their visas,,,,,,,Yes,Yes,Yes,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,,,,,No,,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,193
2205,,Copywriting Public Relations,> 10,No,0,0,2,the lockdowns cost my business considerably and the second protracted one forced me to close one primary element of my service.,Decreased,Increase,Yes,,,,,,less use of out sourced labour,Fully remote,,No change,New,Improved/expanded,Improved/expanded,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,why has there been so little noise about the new Director's Number requirement?,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,,"Business doesn't have any because it's not required, but I support diversity and inclusion at all levels of society",,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,194
2000,Sydney,Corporate Advisory,> 10,No,10,,,reduced productivity,Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,Improved/expanded,No change,Improved/expanded,No change,,,,,,,,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,Yes,,,,,,,,,,,,Yes,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,195
2000,Sydney,Corporate Communication Services,> 10,No,4,2,,Little to no impact as our business keeps operating virtually.,Remained the same,Increase,,,,,Yes,,,Business premises,,No change,Improved/expanded,New,No change,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,Yes,,,,,Yes,Yes,,,,,,,,No,,No,6962,Management Advice and Related Consulting Services,Professional and Business Services,PBS - Business Services,196
2015,Alexandria,Costume Jewellery Components,> 10,No,1,,1,Very little.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,Other (please describe),Dont need any!,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,4253B,Jewellery Retailing,Retail and Personal Services,Jewellery,197
2000,Sydney,Counselling,1 to 5,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8539,Other Allied Health Services,Health,Health - Other Health Services,198
2010,Surry Hills,Pub,6 to 10,No,5,3,10,No one has worked from home,Decreased,Increase,,Yes,,,Yes,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,,Yes,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,,,,,Yes,,,,,,,,,No,,No,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,199
2539,,Counselling,1 to 5,No,0,,,Less workshops more online,Remained the same,Remain the same,,,,,,,Less face to face,Other (please describe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8539,Other Allied Health Services,Health,Health - Other Health Services,200
2010,Darlinghurst,Counsellor,6 to 10,No,1,,,"People have got used to working from home, but I am seeing more people face to face.",Remained the same,Remain the same,,,,,,Yes,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,No change,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,,,,,,,Yes,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,Yes,,,,No,,Don't know,8539,Other Allied Health Services,Health,Health - Other Health Services,201
2000,Haymarket,Co-orking Space,6 to 10,No,3,2,1,Significant.,Remained the same,Decrease,,Yes,,,,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,,,Yes,Yes,,,,,Yes,,,,,,Yes,Yes,,,,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,,,,,,Yes,,Yes,Yes,Yes,,,,,,,No,,Yes,6999B,Co-Working Space,Professional and Business Services,PBS - Business Services,202
